comment,likes
Consistent carriapa is my fav genre,198
NN EP IS AN ABSOLUTE VIBE ️,253
Hell yeahh a full fledged video on emiway ep ,192
11:43 KSHAMA EP,62
"Bkp  don't hate anyone about his view/critics 
Music is subjective and critics help the artist to evolve better
That's it ",105
Eb is damm versatile ,38
Emiway bantai Goat 🇮🇳,43
I think this ep from emiway is just a kind of experiment that he felt to do & his tribute to his parents its just his personal side & it may seem Normal writing for us but as an artist for him its just his way of expressing things he felt.,45
"Emiway bantai  hai or vo hmesha all rounder hai....
Hardcore emiway
Melodic Emiway ",50
Finland Emiway gaya aur thand Rohan bhai ko laga.,27
"My favourite song from this ep was duniya narazz , its in my playlist now (aksar, from whole heartedly) is also pretty good",2
EMIWAY IS G O A T... ️,28
NN ep is vibe khatarnak vibe ️,25
Love From Awaam ,21
"Bkp  
Respect for emiway banati ",49
GOAT Emiway ,8
6:06 But this is my fav track and heart touching ,5
Back to back videos ,26
Emiway ️🇧🇩,10
0:00 Love You Rohan Bhai 🫶,12
Emiway banati new show ,10
Phala ma bhi emiway ko hate karta tha but now I like his music,9
vote for shama?,30
Banjo bounce breakdown mil jata toh,8
Emiway bantai forever ️ malum hai na ,5
NNep is full vibe ,8
"Kshama , TARYAQ , My Terrible Mind , Paapi and Three Two One...",5
"Duniya Naraz is something defining the name ""Northern Nights"" truely, you enjoying in Finland at winter. Hasy cloudy dreamy vibe",26
Emiway bantai ,144
Yeah bro NN is good ep good sound ️‍,7
Khatarnaak... Love from BKP,4
"Camera quality 
Sound quality 
Health quality ",25
0:28 lagta h aaj apdum sick review milega rohan bhai se ,22
King of Indian hip hop Emiway bantai forever ️,4
Emiway the legend ,4
"NN is great work by emiway . 
And pull his game . 
I hope he throw more bangers . 
Love from Awam .",7
Emiway bantai ,5
Kshama.. please......full breakdown,1
Emiway Bantai  Rohan bhai back,3
No waay Rohan is consistent!!!!,5
Love you bantai ,3
Consistency ️‍️‍,8
NN ep is best ep khatarnak ep 🇮🇳,6
bro  ek plz video banao jaha one can start introduction to outside hiphop... mainly western.....mtlb one who has never listened to hiphop except dhh....the stepwise introduction,7
"Hi Rohan,

I just wanted to take a moment to express how much I respect and admire you as a YouTuber. Your content consistently stands out for its quality, insight, and the effort you put into it. Whether it’s your breakdowns, commentary, or analysis, it’s evident that you approach your work with a deep passion and understanding of the craft.

One thing I’ve always appreciated about your channel is how authentic you are. You don’t just follow trends—you carve your own path and stay true to your opinions, even when it might not be the most popular thing to do. That’s rare in a space where people often compromise their integrity for views, and it’s something that’s earned you my respect.

You’ve also managed to build a community that feels genuine and supportive, which speaks volumes about the kind of person you are. Your humility and ability to connect with your audience make your content not just entertaining but meaningful.

Keep doing what you’re doing because it’s inspiring to see someone so passionate and talented thrive in their element. Thank you for giving us such valuable and engaging content—I genuinely look forward to everything you put out!

Wishing you all the success and positivity in the world.

Best regards,
Nemesis",26
SOS full Ep REVIEW >>>>>,2
Mujhe Maaf karo ,3
Emiway Bantai Goat ,3
"11:43  ki ep kro 
That was ",1
Cariappa bhai is consistent ,1
"Perfect review of a project,as it should be done..",1
No Nut ep slat slat slat,1
It is an absolute vibe ️,1
Emiway,1
GNX ka review chahiye Rohan bhai!!,1
I like your honesty,1
"I feel this ep is an experimental project...songs like duniya naraz, nazare, revontulet and safar are kind of experimental... in which I feel only duniya naraz was not up to the mark... rest of them has good melody with good composition, and also their hook are groovy and catchy on the other hand duniya naraz takes time to built itself... where I feel it lag to connect many people
and i feel people who doesn't like this ep might not have this type of taste in music",3
Bro nazare ka hook me bhot methofor tha and end me vo hath me hai touch vale lines se connect hota hai,1
"Rohan bhai sounds kinda sick, i hope you get well soon ️",1
Consistency peaked here,1
Rohan bhai please “My terrible mind” or “Ruab director’s cut” pe video bnado,4
Banjo bounce breakdown abhi tak nhi aaya,1
Emiway day by day ️,5
Kshama ep review,1
Woah !!! Bhai consistency,1
Emiways artistic growth makes Rohan change his mind.,0
Blood is better than tears ep review,1
"My terrible mind
Kshama
Alif Laila
KARMA new EP",2
Bhai ek video whole heartedly album par bhi banado please  bhot acchi album hai aur bhot hi jyada underrated bhi ,2
"Rohan here are few video recommendations if u want to make
Farhan Khan alif Laila album review 
The growth of dhh in past few years 
Underrated artist ready to blow up 
What is music theory in simplistic way
Video Documentary on EPR, Krsna 
Why Divine music is not as classic as Satya or ",3
being a huge Emiway fan...i dint like even 1 track of the ep......i could not even hear more than half of any song,2
Why Maaf karo is my favourite ,3
W ,2
"Love him or hate him, he has definitely learnt how to make better music!",11
Emiway Is Just A Chill Guy,6
Bantai is living legend ,0
So soothing EP. Each and every songs has different vibe ,0
NN ️,1
"Consistent Rohan, Awaaz se toh tabyat jyada kharab lg rhi hai",4
wholeheartedly was an Album and NN is an EP so don't compare. I hope you will review with the same honesty to kshama EP,2
Misunderstood is my fav from this ep ,0
What you think of Seedha takeover,2
Rohan being consistent is a whole new era,1
Lovelyyyy review,1
Such a honest opinion ab log offend ho jaye to ROHAN kya karegaa,0
Rohan being sick as always ️,1
Shatki aur kshama ep pr bna bhaiii,1
11:36 taraq by sos plz rohan ,1
SOS FULL EP REVIEW ‍️,1
Next kshama please!,2
Bhai SM ki Kshama ko bhi review kro bhai.... Awesome project... TBSM ,1
Rohan bhai whole heartedly aapko itni achhi lagi pr uska review bhi nhi kiya aapne,1
My Terrible Mind ....kb ?? ,2
Rohan Bhai Ab aap Emiway pe bhi Video banaya karo Hum BKP aapko support karge par plzzz hate mat dena Emiway ko genuine criticise kar sakte ho......,3
Broo kshamaaa ,0
Talha Anjum's My Terrible Mind review ,0
Wonderful Review ,1
Amazing EP ,0
Sick vibe hai,0
 Ep,1
Good review,1
"Next video : DO BEEF RAPPER PROMOTE OUR CULTURE ? 
(About emiway new show)",3
Emiway is king when it's come to ep,6
Jitne views aaye hai iss video pe agar utne streams bhi aajate iss EP pe toh Emiway ko bhi thoda accha lagta lekin sunna kisiko nahi hai,1
Good review bro,0
KSHAMA EP REVIEW PLEASEEEEEEEEEEEEEEEEE,1
bantai,0
Nn ep is a loop vibe,2
kisi ko bhi hype chahye hoti hai toh EMIWAY ko diss ya criticize karna shuru kar dete hai ,2
"I would like reviews of only three projects 
1)taryak 
2) alif Laila 
3) kshama .",0
Shakti and Kshama,1
Banjo Bounce breakdown Kahan hai??????,4
Rohan dissing Emiway's project because Emiway announced his new RAP SHOW ,1
"Before watching the full video, i want to say that melodic emiway gives the best hooks ever! Also get well soon rohan bhai ",12
bhaii kshamaa ka krdee yaarr waiting usko liye bahot timee see,2
Which watch are you using? Also nice review,0
Ab rohan carriappa NNN EP nikalega,1
Please review whole heartedly ,3
,2
Itna consistent mat ho bhai fir Nazar lag jayegi ,2
W,2
Team Evo mixtape review when?,1
Bhai Taryaq ep by Sos uska review lao ,2
My favourite project from emiway so far!,4
Rum Racks and Roses by Team Evo,1
Ikka - Blood is Better Than Tears EP Review,0
Brotha where is my terrible mind review man,1
Consistent rohan is my favourite genre...,3
Bro got his channel back and started poking Emiway again ,1
Rohan is becoming Neutral ,0
Rohan Bhai Tumhare Rap show ko Competition mill Emiway bhi apna Rap Show laa Raha hai,0
"Shah Rule , Dino James - Paapi",0
"ab emiway par jitne videos private kiye hai, specially the one jisme why emiway dont write lyrical songs wala video ko visible kardo bhai",1
Condiment kadipatta is my fav genre,0
Humble poet 2.0 review !!!,0
Bhai MY TERRIBLE MIND pe pura opinion chaiyeee!! everythingg!!!,0
Review polaris and kshama next,0
Get well soon brother ,0
review ruab by dhanji ️️,1
Bhai Rum Racks Roses cover karo plzzzz,1
"Bhai sm, karma etc k projects bi cover krlo ab",1
1min back is a crime,1
rohan,1
Terrible mind - Talha Anjum,0
Baki pehle aye hue album kidhar hai??!?,1
Shakti n Kshama,0
One subscriber  gulabi dil ,0
Aap apne description mai aapka playlist share kar sakto ho kya?,1
Kshama Seasionnnnnnnnn ,0
Kshama pe bhi bana de bhaiiii yarr,0
Emiway k pas hi aana para tujhe,2
Rohan uploading an emiway video,2
You should talk about projects like [section 71] [section 71 deluxe] and [hero] and [khachra ultimate] and the artists,0
He is right in all words he said,2
Emiway is king when it's comes to ep,4
Waiting for Review of Rums Racks and Roses,0
Shakti and Shama review daldo bro! And Blood is Better than Tears too.,0
Dekhne se pehle comment kar deta hun,1
I think it is mix and mastered by emiway,0
Both of Karma's ep next!,0
shakti and shama breakdown pleaseeeeeeeed,0
Can anyone please recommend me more eps like Northern Nights ? Or tracks like the ones present in Northern Nights,3
Bhai hats off to u on makin vedio on emiway but pls be care full you know how that guy is for ur channels security.,0
KSHAMA review!!!,0
"Day 4 of asking to make a video on Bohemia, the pioneer of dhh.",0
"""Heart to heart"" ka review daal bhai",0
Next review on ikka's new ep,0
Music and vibe is good but personally I feel vocal felt like uneasy to ears like distorting when listening to.... . Except Maaf karo I liked that one,0
please Review papi and dino singles ,0
Honey Singh songs review,1
Alif Laila,1
To the editor: color pr thoda magenta bada do highlights bada kr,1
SOS EP  11:56,0
Take care bro thoda bimar lag rahe ho ️,1
RRR mix tape,1
please review SOS new ep,3
why no one like misunderstood track it is personaly my favourite track from this ep,5
Afaik bhul gye ye EP aur Kshama ko,1
kshma by seedhe maut,0
why everyone is sleeping on emiway’s ep,11
fo shaama shakti review,0
Alif Laila by Farhan Khan,0
Kshamaa review please  6:29,0
Kshama season,0
Still remember the day when Raftaar released Damn where him and Kr$na used  some autotune on a trap beat and the whole BKP was hating on them. Now Emiway is making whole EPs using ugly autotune ,3
"Rohan brother? Take care of your 1st yes I love Consistent Rohan 
But take care 1st ",0
Talha anjum ki album review ,0
Yashraj ka ep (meri jaan pehle naach) review Karo na,0
Zukhaam OP,0
Nazare prod by emiway bhai,0
Humble poet 2.0 review,0
"Okay one question 

Do you think this ep is like one of those promotional projects the way some countries give discounts or benefits to artists to come to their country and shoot there so via that artist their country can be promoted for more tourism?? 

Just a doubt !!",1
"I want you to review Kshama, but I think people will say you will be biased, if you liked it.  

I think you should do Alifa Laila part 2",0
Bhai team evolution RRR review,0
Next Taryaq ep of  ,0
Sos ,0
RUAB pe ek video,0
"Rohan and Emiway true friends ️
They support each other everytime 🫡",4
"Camera quality 
Sound quality 
Health quality ",9
Emiway bantai ,1
Vibe ️,1
Please create a video on dhh best top 10 music videos,0
My terrible mind,1
Bhai ruk k thoda exams chal rahe hai,1
Rohan ne jukaam ke dimag me dard kr Rakha hai ,0
Farhan khan Alif Laila,0
Kshama review when?,0
"Please One Video On ""My Terrible Mind"" Album By Talha Anjum",0
First one to arrive,0
CHAMA EP BY SHIVAM DHAKAD,3
Taryaq ep ,0
i want paapi review,0
Emiway भाई के लिए सम्मान है पता है उनके melodic गानों पर numbers नही आते फिर  भी वो बनाते हैं ,3
kshama krooo,0
Sos ep reaction,1
Emiway bantai downfall is real he can't even get 1m views,1
Bhai Alif Laila ka bhi video banao,0
I'm a rapper from Hyderabad. I'd really appreciate it if you could listen to it and give me your feedback. Thank you ,1
Hustle ke weekly reviews kb aaenge?,0
Kshama ep review,0
KSHAMA SM REVIEW,0
Rohan bhaiya aapke bhi daat yellow hai meri tarah,0
No hate but seriously emiway ep review ,1
SOS TARYAQ EP!!!,0
Ksama,0
Seedhe Maut review as well please,0
Bhai not funny rohan pe bhi kuch daal do,1
mat kar lala mat kar,1
Next review kshama ka karo,0
Ruab director's cut,0
kshama ep,0
Kshama and my terrible mind,0
11:37 taryaq ep when?????,0
Farhan khan album pls,0
Ikka ki ep ka kro bhai,0
Kshama by Seedhe Maut when?,0
Guys how is my music... Be honest,0
Video daalu back to back,0
Yooooo️,1
Seedhe maut new ep review??,0
Review KSHAMA by SM !!! ,1
Kshama review,0
"People forget emiway is the same who had the bestest hook ever ""Kaale tu kawee"" ️️️️",2
Bro react to IKKA ep too,0
Kshama ka bhi review kar do ab,0
Bhai normies bhi daalde dr dri ko dekhe hue arsa hogya ,0
Bantai LALA,0
Check RRR by aniket and Dakeit,0
Itna jyada autotune nahi achha lagta Yaar. Jaise Eminem kisi se chorus karwa leta wasia kar le to better,0
11:39 KSHAMA kaha hai ????,0
Sos ep,0
kshama kab,0
Kshama??,0
Bhai Talha Anjum ki New  Album My Terrible Mind ka Review karo Please ,0
"Bro Where is Talha Anjum 
My terrible Album key baray may kiu nhi video bna rhy 
Baki love You ",0
I want to see Rohan as Judge in Emiway's battle rap show. Agree with me?,4
bhai anjum ke album ..,0
"Kshama 
Youngsta ki ep",0
Petition for Seedhe Maut new album  review ,0
Review My Terrible mind,0
"Ruab bhi kar lo review, bahut time se due hai",0
SOS ep,0
alif laila part 2 review,0
Sare paise sound engineer ko dedo uska hi gana hein,0
My Terrible Mind,0
My terrible mind,0
Yoo,0
NEEED SHAKTI KSHAMA VIDEO,0
My terrible mind album review,0
Rohan bhai aap na auto tune use karo,0
MY TERRIBLE MIND TALHA ANJUM,0
Loka yaha hai,0
"First, reply do bhai ab",0
RRR ??,0
Wait for NNN ,0
my terrible mind,0
My terrible mind?,0
Real id se aa,0
Shama review kr,1
my terrible mind,0
TAlha anjum my terrible mind album ka review chaiye bro.,0
Hum first,0
Glazing,2
Bimari me bhi paneer acha rehta he khana,0
Sos taryaq ep..,0
Abhi bolta hoon Emiway bhai ko strike dene,0
Copy kisko kia h ? ,0
Sos,0
SOS ke Ep ka kb review aaye ga ?,1
My terrible mind pls,0
my terrible mind review?,0
Taryaq ep,0
,0
10th,0
Ye eb ko kyu cover karraa he,0
Mat kr lala Mt kr,0
Love from Odisha ️,1
Agli vdo k intro l liye underrated rap - https://youtu.be/KRBn97EvuwY?si=TMFwdqzo7XkqK8Jt,0
Nominate Rohan as Seedha Take over Judge..,1
First ,0
I thought you were not going to review emiways's projects? Due to copyright issues??,0
Sos new project...,1
 ,0
first,1
First,0
Ek baat to jabse krsna emiway beff hua emiway downfall stard hua hai fact,1
Views ke lye tujhe emiway k pas hi aana parega,2
"Emiway 
As a singer 
as a rapper",0
"Umm i don't know but i feel emiways voice sounds craked a little bit
No hate but it is what it is idk why",0
Beef ke baad ye sab kyu banjate Arijit,0
Femiway chhake ke gaane kon kon sunta h like karo ,0
Beef ke baad ye saare kyun banjate Arijit.,0
